Product Name,Concentration uM,morphology score,infection rate (%),Cell model
YS-035,10.0,0.03,103.0,Vero E6
yohimbine,10.0,0.07,109.0,Vero E6
yoda-1,10.0,0.29,89.0,Vero E6
YO-01027,10.0,0.18,119.0,Vero E6
YM-976,10.0,0.37,100.0,Vero E6
YM-90709,10.0,0.13,91.0,Vero E6
YM-750,10.0,-0.18,106.0,Vero E6
YM-58483,10.0,-0.08,105.5,Vero E6
YM-511,10.0,0.21,102.0,Vero E6
YM-298198-desmethyl,10.0,0.08,105.0,Vero E6
YM-244769,10.0,-0.42,119.0,Vero E6
YM-155,0.83,0.08,108.0,Vero E6
YK-4-279,0.83,0.01,95.0,Vero E6
YIL-781,10.0,0.29,76.0,Vero E6
YC-1,10.0,-0.03,101.0,Vero E6
Y16,10.0,0.14,100.0,Vero E6
Y-39983,10.0,-0.1,111.5,Vero E6
Y-27632,10.0,0.24,105.5,Vero E6
Y-27152,10.0,0.16,97.5,Vero E6
Y-26763,10.0,0.48,59.0,Vero E6
Y-11,10.0,-0.07,107.5,Vero E6
xylose,10.0,-0.04,107.5,Vero E6
xylometazoline,10.0,-0.02,105.5,Vero E6
xylazine,10.0,0.24,108.0,Vero E6
XMD8-92,0.83,-0.06,113.5,Vero E6
XMD17-109,10.0,-0.26,121.5,Vero E6
XL888,10.0,0.19,98.5,Vero E6
SAR-245409,10.0,0.05,119.0,Vero E6
BMS-863233,0.83,0.11,104.0,Vero E6
XL388,0.83,-0.09,110.5,Vero E6
XL228,10.0,-0.09,112.0,Vero E6
XL147,10.0,0.04,108.5,Vero E6
XL019,10.0,0.61,73.5,Vero E6
xilobam,10.0,0.13,102.5,Vero E6
xibenolol,10.0,0.1,97.5,Vero E6
xenalipin,10.0,0.03,101.5,Vero E6
XE-991,10.0,-0.04,98.0,Vero E6
XD-14,10.0,-0.06,111.0,Vero E6
XAV-939,0.83,0.15,94.0,Vero E6
xanthone,10.0,0.22,104.0,Vero E6
xanomeline,10.0,0.44,71.5,Vero E6
xamoterol,10.0,0.03,110.0,Vero E6
xaliproden,10.0,-0.06,108.0,Vero E6
X-77,10.0,0.27,90.5,Vero E6
WZ4003,10.0,0.02,114.0,Vero E6
WZ-4002,0.83,-0.1,115.0,Vero E6
WZ-3146,10.0,-0.12,118.0,Vero E6
WZ811,10.0,-0.04,101.5,Vero E6
WYE-687,10.0,-0.2,104.0,Vero E6
WYE-354,0.83,0.01,119.5,Vero E6
WYE-125132,0.83,-0.1,100.0,Vero E6
WY-16922,10.0,-0.18,101.5,Vero E6
WWL-123,10.0,-0.05,111.0,Vero E6
WWL-113,10.0,0.02,104.0,Vero E6
WR99210,10.0,0.2,89.5,Vero E6
WP1066,0.83,-0.03,117.5,Vero E6
wortmannin,0.83,0.26,79.5,Vero E6
wnt-c59,10.0,0.39,75.5,Vero E6
WIN-64338,10.0,0.12,92.0,Vero E6
WIKI4,0.83,0.1,108.5,Vero E6
WHI-P154,10.0,-0.19,103.0,Vero E6
WH-4-023,10.0,0.07,111.0,Vero E6
WEHI-345-analog,0.83,-0.06,121.5,Vero E6
WDR5-0103,10.0,0.14,105.0,Vero E6
WB-4101,10.0,0.14,108.0,Vero E6
WAY-629,10.0,-0.03,104.5,Vero E6
WAY-213613,10.0,0.23,98.0,Vero E6
WAY-207024,0.83,0.05,102.5,Vero E6
WAY-200070,10.0,0.13,94.5,Vero E6
WAY-170523,0.83,-0.03,96.0,Vero E6
WAY-161503,10.0,0.18,107.5,Vero E6
WAY-100635,10.0,0.09,118.0,Vero E6
WAY-208466,10.0,-0.02,109.0,Vero E6
warfarin,10.0,-0.03,105.5,Vero E6
walrycin-B,0.83,0.4,86.5,Vero E6
W-54011,10.0,0.11,85.5,Vero E6
lumacaftor,10.0,0.07,113.5,Vero E6
VX-745,10.0,-0.05,107.5,Vero E6
VX-702,10.0,-0.13,111.0,Vero E6
tozasertib,10.0,0.29,119.0,Vero E6
tezacaftor,10.0,-0.01,108.0,Vero E6
VUF11207,10.0,0.06,108.5,Vero E6
VUF10460,10.0,0.21,94.5,Vero E6
VUF10166,10.0,0.16,102.5,Vero E6
VU591,10.0,-0.0,94.5,Vero E6
VU29,10.0,0.22,86.5,Vero E6
VU1545,10.0,0.23,93.5,Vero E6
VU10010,10.0,0.08,99.0,Vero E6
VU0361737,10.0,0.13,96.5,Vero E6
VU0360172,10.0,0.02,99.0,Vero E6
VU0238429,0.83,0.03,101.5,Vero E6
VU0155069,10.0,0.46,87.0,Vero E6
VU152100,10.0,-0.01,104.5,Vero E6
VU0422288,10.0,0.1,102.0,Vero E6
VU0364770,10.0,0.23,105.5,Vero E6
VU0364439,10.0,-0.13,114.0,Vero E6
VU0357121,10.0,0.18,106.0,Vero E6
VU0240551,10.0,0.49,68.5,Vero E6
VTP-27999,10.0,-0.03,105.0,Vero E6
SB-2343,10.0,-0.06,108.5,Vero E6
voxtalisib,0.83,0.01,109.0,Vero E6
voxelotor,10.0,0.19,102.0,Vero E6
vorinostat,0.83,0.0,117.5,Vero E6
voriconazole,10.0,0.02,101.0,Vero E6
voreloxin,0.83,0.07,104.0,Vero E6
vorapaxar,10.0,0.21,106.0,Vero E6
vonoprazan,10.0,0.01,114.0,Vero E6
volinanserin,10.0,-0.15,110.0,Vero E6
voglibose,10.0,-0.11,106.5,Vero E6
VLX600,10.0,0.01,103.0,Vero E6
VLX600,10.0,-0.18,111.5,Vero E6
vitamin-E,10.0,-0.3,117.0,Vero E6
vitamin-B12,10.0,0.09,106.0,Vero E6
AZD2014,10.0,-0.22,108.5,Vero E6
vipadenant,10.0,0.06,110.0,Vero E6
vinpocetine,10.0,0.18,102.5,Vero E6
vinorelbine,10.0,-0.19,115.0,Vero E6
Vinflunine Ditartrate,10.0,-0.12,105.0,Vero E6
vindesine,10.0,-0.11,103.0,Vero E6
Vincristine (sulfate),10.0,-0.04,101.0,Vero E6
vincamine,10.0,0.05,99.0,Vero E6
Vinblastine (sulfate),0.83,-0.03,102.0,Vero E6
viloxazine,10.0,0.0,111.5,Vero E6
vildagliptin,10.0,0.0,91.0,Vero E6
vilazodone,0.83,0.05,102.5,Vero E6
vilanterol,10.0,0.02,111.0,Vero E6
vigabatrin,10.0,0.19,99.5,Vero E6
SC-12267,10.0,0.16,94.5,Vero E6
adenosine,10.0,-0.09,115.5,Vero E6
vicriviroc,10.0,0.19,100.0,Vero E6
VGX-1027,10.0,-0.03,116.5,Vero E6
GS-9620,10.0,-0.13,106.0,Vero E6
vesamicol,10.0,0.23,98.5,Vero E6
verubulin,10.0,-0.1,95.0,Vero E6
verteporfin,10.0,-0.1,104.5,Vero E6
vernakalant,10.0,0.11,110.0,Vero E6
verinurad,10.0,0.12,98.0,Vero E6
vercirnon,10.0,0.05,98.5,Vero E6
verbascoside,10.0,0.1,104.0,Vero E6
VER-49009,10.0,0.04,104.5,Vero E6
VER-155008,10.0,0.1,106.0,Vero E6
venlafaxine,10.0,0.01,110.5,Vero E6
vemurafenib,10.0,0.25,85.5,Vero E6
velneperit,10.0,-0.01,115.0,Vero E6
VE-821,10.0,0.28,87.0,Vero E6
VCH-916,10.0,0.15,83.0,Vero E6
vatalanib,10.0,0.2,96.0,Vero E6
ARRY-334543,10.0,-0.16,97.0,Vero E6
varespladib,10.0,0.07,108.5,Vero E6
varenicline,10.0,-0.04,101.0,Vero E6
vardenafil,10.0,0.23,97.5,Vero E6
vanoxerine,0.83,0.27,86.0,Vero E6
vanitiolide,10.0,0.15,101.5,Vero E6
vanillin,10.0,0.09,104.0,Vero E6
vandetanib,10.0,0.05,102.0,Vero E6
VANCOMYCIN HYDROCHLORIDE,10.0,0.09,104.5,Vero E6
valsartan,10.0,0.01,98.5,Vero E6
valrubicin,0.83,0.12,97.0,Vero E6
valrocemide,10.0,0.06,108.5,Vero E6
valnemulin,10.0,0.05,115.5,Vero E6
valganciclovir,10.0,0.12,101.5,Vero E6
valethamate,10.0,0.1,95.0,Vero E6
valdecoxib,10.0,-0.06,98.5,Vero E6
valaciclovir,10.0,-0.03,115.5,Vero E6
dianhydrogalactitol,10.0,-0.07,114.5,Vero E6
ursodiol,10.0,-0.02,98.5,Vero E6
INS316,10.0,0.27,99.0,Vero E6
INS316,10.0,0.08,95.0,Vero E6
uridine,10.0,0.32,96.5,Vero E6
uric-acid,10.0,-0.03,106.0,Vero E6
urethane,10.0,-0.07,106.5,Vero E6
urea,10.0,-0.17,114.0,Vero E6
URB597,10.0,0.0,104.5,Vero E6
urapidil,10.0,0.09,101.0,Vero E6
uracil,10.0,-0.0,108.5,Vero E6
uprosertib,10.0,0.44,96.5,Vero E6
UPF-1069,10.0,0.08,87.0,Vero E6
UNC669,10.0,0.15,108.0,Vero E6
UNC2250,10.0,0.1,113.0,Vero E6
UNC2025,10.0,-0.16,119.0,Vero E6
UNC1215,10.0,-0.01,114.0,Vero E6
UNC0646,10.0,0.46,52.0,Vero E6
UNC0321,10.0,0.11,110.5,Vero E6
UNC0224,10.0,0.12,116.5,Vero E6
UNC926,10.0,-0.01,106.5,Vero E6
UNC3230,0.83,0.07,100.5,Vero E6
UNC2327,10.0,-0.14,110.5,Vero E6
UNC0631,0.83,0.17,92.0,Vero E6
unbs-5162,10.0,0.11,102.5,Vero E6
umeclidinium,10.0,0.16,101.0,Vero E6
TGR-1202,10.0,0.03,106.5,Vero E6
BVD-523,0.83,-0.02,109.0,Vero E6
Ulipristal acetate,10.0,0.29,103.5,Vero E6
ulifloxacin,10.0,-0.04,106.5,Vero E6
UK-5099,10.0,-0.06,99.5,Vero E6
UK-356618,0.83,-0.09,102.5,Vero E6
UK-383367,10.0,0.51,85.0,Vero E6
UH-232-(+),10.0,0.33,92.0,Vero E6
ufenamate,10.0,0.13,100.0,Vero E6
UF-010,0.83,-0.29,115.5,Vero E6
UCL-2077,10.0,-0.07,103.5,Vero E6
UC-112,10.0,0.03,103.5,Vero E6
UBP-310,10.0,-0.07,96.5,Vero E6
UBP-302,10.0,0.28,79.0,Vero E6
ubenimex,10.0,0.24,96.0,Vero E6
UB-165,10.0,-0.09,110.5,Vero E6
UAMC-00039,10.0,-0.16,107.0,Vero E6
U-99194,10.0,0.23,109.0,Vero E6
U-75799E,10.0,0.02,95.0,Vero E6
spiradoline,10.0,0.16,99.0,Vero E6
U-54494A,10.0,0.21,90.0,Vero E6
U-50488-(-),10.0,0.42,88.5,Vero E6
U-104,10.0,0.07,108.5,Vero E6
U-0521,10.0,-0.14,103.0,Vero E6
U-0126,10.0,-0.2,113.0,Vero E6
U-0124,10.0,0.15,100.5,Vero E6
tyrphostin-AG-99,10.0,0.09,106.0,Vero E6
tyrphostin-AG-835,10.0,0.49,78.0,Vero E6
tyrphostin-AG-825,10.0,-0.11,108.5,Vero E6
tyrphostin-AG-494,10.0,0.08,103.5,Vero E6
tyrphostin-AG-18,10.0,0.2,100.5,Vero E6
tyrphostin-AG-879,0.83,0.17,101.5,Vero E6
tyrphostin-AG-1296,10.0,0.2,108.0,Vero E6
tyrphostin-A9,0.83,0.12,80.5,Vero E6
TYLOSIN TARTRATE,0.83,-0.0,81.0,Vero E6
TY-52156,10.0,-0.15,114.0,Vero E6
TWS-119,0.83,0.08,104.0,Vero E6
TW-37,10.0,-0.02,112.5,Vero E6
WAY-362450,10.0,0.05,100.5,Vero E6
tulobuterol,10.0,-0.02,115.0,Vero E6
TUG-891,10.0,-0.17,100.0,Vero E6
tucatinib,0.83,-0.09,114.5,Vero E6
tubocurarine,10.0,-0.03,110.5,Vero E6
tubastatin-A,0.83,0.12,95.5,Vero E6
tuaminoheptane,10.0,-0.09,109.0,Vero E6
TU-2100,10.0,0.17,100.0,Vero E6
TTP-22,10.0,0.15,103.0,Vero E6
TTNPB,10.0,-0.07,101.5,Vero E6
tryptophan,10.0,-0.12,100.0,Vero E6
tryptanthrin,10.0,0.14,96.0,Vero E6
troxipide,10.0,-0.01,120.0,Vero E6
trovirdine,10.0,0.01,110.0,Vero E6
trovafloxacin,10.0,0.28,107.5,Vero E6
trospium,10.0,0.06,102.0,Vero E6
tropisetron,10.0,-0.03,101.5,Vero E6
tropicamide,10.0,-0.07,104.5,Vero E6
"tropanyl-3,5-dimethylbenzoate",10.0,0.23,90.0,Vero E6
trometamol,10.0,-0.07,106.5,Vero E6
tromaril,10.0,-0.08,105.0,Vero E6
trolox,0.83,0.1,98.5,Vero E6
troglitazone,10.0,0.34,89.0,Vero E6
trofinetide,10.0,0.19,100.0,Vero E6
triptorelin,10.0,-0.02,109.5,Vero E6
triptolide,10.0,0.38,89.0,Vero E6
tripelennamine,10.0,-0.04,109.5,Vero E6
trioxsalen,10.0,0.13,94.0,Vero E6
trimipramine,10.0,0.45,80.5,Vero E6
trimetozine,10.0,-0.06,113.0,Vero E6
trimethoquinol,10.0,0.03,99.5,Vero E6
trimethoprim,10.0,-0.05,98.5,Vero E6
trimethobenzamide,10.0,0.0,110.5,Vero E6
trimethadione,10.0,0.1,106.0,Vero E6
alimemazine,0.83,-0.14,105.0,Vero E6
trimebutine,10.0,0.1,91.0,Vero E6
TRIM,10.0,0.05,105.5,Vero E6
trilostane,10.0,-0.06,104.5,Vero E6
trihexyphenidyl,10.0,0.17,92.0,Vero E6
trigonelline,0.83,0.07,108.0,Vero E6
teroxirone,10.0,-0.04,115.0,Vero E6
triflusal,10.0,0.13,102.0,Vero E6
trifluridine,0.83,0.18,101.0,Vero E6
triflupromazine,10.0,0.46,56.0,Vero E6
trifluoperazine,0.83,0.16,96.5,Vero E6
trientine,10.0,-0.0,105.5,Vero E6
tridihexethyl,10.0,-0.09,110.0,Vero E6
triclosan,10.0,0.24,95.0,Vero E6
triclocarban,10.0,0.07,98.5,Vero E6
triciribine,10.0,0.17,87.5,Vero E6
trichostatin-a,0.83,-0.09,107.5,Vero E6
trichlormethiazide,10.0,0.06,100.0,Vero E6
tribomsalan,10.0,0.04,106.0,Vero E6
tribenoside,10.0,-0.05,101.5,Vero E6
triapine,0.83,0.05,106.0,Vero E6
triamterene,0.83,-0.17,117.5,Vero E6
TRIAMCINOLONE ACETONIDE,10.0,0.01,109.0,Vero E6
tretinoin,10.0,-0.27,106.5,Vero E6
trequinsin,10.0,0.54,87.5,Vero E6
trepibutone,10.0,-0.06,106.5,Vero E6
